idx,Date,Temperature,Stopped (LGR S/N: 20782708),End Of File (LGR S/N: 20782708)
657,11/22/2022 19:49,23.88,,
658,11/22/2022 19:49,23.91,,
659,11/22/2022 19:49,23.89,,
660,11/22/2022 19:49,23.86,,
661,11/22/2022 19:50,23.88,,
662,11/22/2022 19:50,23.83,,
663,11/22/2022 19:50,23.84,,
664,11/22/2022 19:50,23.88,,
665,11/22/2022 19:50,23.86,,
666,11/22/2022 19:50,23.91,,
667,11/22/2022 19:51,23.84,,
668,11/22/2022 19:51,23.86,,
669,11/22/2022 19:51,23.85,,
670,11/22/2022 19:51,23.88,,
671,11/22/2022 19:51,23.89,,
672,11/22/2022 19:51,23.95,,
673,11/22/2022 19:52,23.93,,
674,11/22/2022 19:52,23.88,,
675,11/22/2022 19:52,23.86,,
676,11/22/2022 19:52,23.94,,
677,11/22/2022 19:52,23.92,,
678,11/22/2022 19:52,23.89,,
679,11/22/2022 19:53,23.85,,
680,11/22/2022 19:53,23.89,,
681,11/22/2022 19:53,23.86,,
682,11/22/2022 19:53,23.88,,
683,11/22/2022 19:53,23.82,,
684,11/22/2022 19:53,23.84,,
685,11/22/2022 19:54,23.87,,
686,11/22/2022 19:54,23.83,,
687,11/22/2022 19:54,23.8,,
688,11/22/2022 19:54,23.84,,
689,11/22/2022 19:54,23.83,,
690,11/22/2022 19:54,23.83,,
691,11/22/2022 19:55,23.86,,
692,11/22/2022 19:55,23.85,,
693,11/22/2022 19:55,23.86,,
694,11/22/2022 19:55,23.88,,
695,11/22/2022 19:55,23.89,,
696,11/22/2022 19:55,23.93,,
697,11/22/2022 19:56,23.85,,
698,11/22/2022 19:56,23.84,,
699,11/22/2022 19:56,23.83,,
700,11/22/2022 19:56,23.84,,
701,11/22/2022 19:56,23.85,,
702,11/22/2022 19:56,23.78,,
703,11/22/2022 19:57,23.85,,
704,11/22/2022 19:57,23.88,,
705,11/22/2022 19:57,23.88,,
706,11/22/2022 19:57,23.85,,
707,11/22/2022 19:57,23.85,,
708,11/22/2022 19:57,23.86,,
709,11/22/2022 19:58,23.86,,
710,11/22/2022 19:58,23.82,,
711,11/22/2022 19:58,23.88,,
712,11/22/2022 19:58,23.84,,
713,11/22/2022 19:58,23.77,,
714,11/22/2022 19:58,23.85,,
715,11/22/2022 19:59,23.83,,
716,11/22/2022 19:59,23.86,,
717,11/22/2022 19:59,23.81,,
718,11/22/2022 19:59,23.84,,
719,11/22/2022 19:59,23.89,,
720,11/22/2022 19:59,23.88,,
721,11/22/2022 20:00,23.86,,
722,11/22/2022 20:00,23.82,,
723,11/22/2022 20:00,23.89,,
724,11/22/2022 20:00,23.84,,
725,11/22/2022 20:00,23.85,,
726,11/22/2022 20:00,23.83,,
727,11/22/2022 20:01,23.83,,
728,11/22/2022 20:01,23.8,,
729,11/22/2022 20:01,23.85,,
730,11/22/2022 20:01,23.85,,
731,11/22/2022 20:01,23.83,,
732,11/22/2022 20:01,23.84,,
733,11/22/2022 20:02,23.86,,
734,11/22/2022 20:02,23.85,,
735,11/22/2022 20:02,23.89,,
736,11/22/2022 20:02,23.87,,
737,11/22/2022 20:02,23.86,,
738,11/22/2022 20:02,23.9,,
739,11/22/2022 20:03,23.86,,
740,11/22/2022 20:03,23.87,,
741,11/22/2022 20:03,23.85,,
742,11/22/2022 20:03,23.77,,
743,11/22/2022 20:03,23.84,,
744,11/22/2022 20:03,23.79,,
745,11/22/2022 20:04,23.81,,
746,11/22/2022 20:04,23.82,,
747,11/22/2022 20:04,23.84,,
748,11/22/2022 20:04,23.85,,
749,11/22/2022 20:04,23.86,,
750,11/22/2022 20:04,23.87,,
751,11/22/2022 20:05,23.81,,
752,11/22/2022 20:05,23.88,,
753,11/22/2022 20:05,23.84,,
754,11/22/2022 20:05,23.84,,
755,11/22/2022 20:05,23.8,,
756,11/22/2022 20:05,23.81,,
757,11/22/2022 20:06,23.84,,
758,11/22/2022 20:06,23.86,,
759,11/22/2022 20:06,23.88,,
760,11/22/2022 20:06,23.89,,
761,11/22/2022 20:06,23.88,,
762,11/22/2022 20:06,23.9,,
763,11/22/2022 20:07,23.9,,
764,11/22/2022 20:07,23.84,,
765,11/22/2022 20:07,23.82,,
766,11/22/2022 20:07,23.8,,
767,11/22/2022 20:07,23.85,,
768,11/22/2022 20:07,23.86,,
769,11/22/2022 20:08,23.88,,
770,11/22/2022 20:08,23.86,,
771,11/22/2022 20:08,23.87,,
772,11/22/2022 20:08,23.84,,
773,11/22/2022 20:08,23.83,,
774,11/22/2022 20:08,23.85,,
775,11/22/2022 20:09,23.85,,
776,11/22/2022 20:09,23.85,,
777,11/22/2022 20:09,23.82,,
778,11/22/2022 20:09,23.89,,
779,11/22/2022 20:09,23.8,,
780,11/22/2022 20:09,23.86,,
781,11/22/2022 20:10,23.88,,
782,11/22/2022 20:10,23.85,,
783,11/22/2022 20:10,23.86,,
784,11/22/2022 20:10,23.89,,
785,11/22/2022 20:10,23.88,,
786,11/22/2022 20:10,23.88,,
787,11/22/2022 20:11,23.86,,
788,11/22/2022 20:11,23.83,,
789,11/22/2022 20:11,23.85,,
790,11/22/2022 20:11,23.91,,
791,11/22/2022 20:11,23.81,,
792,11/22/2022 20:11,23.84,,
793,11/22/2022 20:12,23.82,,
794,11/22/2022 20:12,23.81,,
795,11/22/2022 20:12,23.83,,
796,11/22/2022 20:12,23.81,,
797,11/22/2022 20:12,23.81,,
798,11/22/2022 20:12,23.86,,
799,11/22/2022 20:13,23.84,,
800,11/22/2022 20:13,23.89,,
801,11/22/2022 20:13,23.84,,
802,11/22/2022 20:13,23.82,,
803,11/22/2022 20:13,23.81,,
804,11/22/2022 20:13,23.84,,
805,11/22/2022 20:14,23.81,,
806,11/22/2022 20:14,23.85,,
807,11/22/2022 20:14,23.86,,
808,11/22/2022 20:14,23.84,,
809,11/22/2022 20:14,23.9,,
810,11/22/2022 20:14,23.84,,
811,11/22/2022 20:15,23.83,,
812,11/22/2022 20:15,23.77,,
813,11/22/2022 20:15,23.81,,
814,11/22/2022 20:15,23.84,,
815,11/22/2022 20:15,23.82,,
816,11/22/2022 20:15,23.84,,
817,11/22/2022 20:16,23.83,,
818,11/22/2022 20:16,23.84,,
819,11/22/2022 20:16,23.84,,
820,11/22/2022 20:16,23.82,,
821,11/22/2022 20:16,23.83,,
822,11/22/2022 20:16,23.82,,
823,11/22/2022 20:17,23.81,,
824,11/22/2022 20:17,23.8,,
825,11/22/2022 20:17,23.9,,
826,11/22/2022 20:17,23.86,,
827,11/22/2022 20:17,23.77,,
828,11/22/2022 20:17,23.81,,
829,11/22/2022 20:18,23.83,,
830,11/22/2022 20:18,23.88,,
831,11/22/2022 20:18,23.81,,
832,11/22/2022 20:18,23.81,,
833,11/22/2022 20:18,23.86,,
834,11/22/2022 20:18,23.83,,
835,11/22/2022 20:19,23.8,,
836,11/22/2022 20:19,23.82,,
837,11/22/2022 20:19,23.87,,
838,11/22/2022 20:19,23.8,,
839,11/22/2022 20:19,23.76,,
840,11/22/2022 20:19,23.81,,
841,11/22/2022 20:20,23.83,,
842,11/22/2022 20:20,23.84,,
843,11/22/2022 20:20,23.82,,
844,11/22/2022 20:20,23.79,,
845,11/22/2022 20:20,23.79,,
846,11/22/2022 20:20,23.87,,
847,11/22/2022 20:21,23.83,,
848,11/22/2022 20:21,23.72,,
849,11/22/2022 20:21,23.73,,
850,11/22/2022 20:21,23.78,,
851,11/22/2022 20:21,23.83,,
852,11/22/2022 20:21,23.84,,
853,11/22/2022 20:22,23.82,,
854,11/22/2022 20:22,23.84,,
855,11/22/2022 20:22,23.83,,
856,11/22/2022 20:22,23.82,,
857,11/22/2022 20:22,23.79,,
858,11/22/2022 20:22,23.8,,
859,11/22/2022 20:23,23.8,,
860,11/22/2022 20:23,23.82,,
861,11/22/2022 20:23,23.78,,
862,11/22/2022 20:23,23.78,,
863,11/22/2022 20:23,23.81,,
864,11/22/2022 20:23,23.8,,
865,11/22/2022 20:24,23.81,,
866,11/22/2022 20:24,23.75,,
867,11/22/2022 20:24,23.76,,
868,11/22/2022 20:24,23.85,,
869,11/22/2022 20:24,23.84,,
870,11/22/2022 20:24,23.84,,
871,11/22/2022 20:25,23.79,,
872,11/22/2022 20:25,23.82,,
873,11/22/2022 20:25,23.79,,
874,11/22/2022 20:25,23.82,,
875,11/22/2022 20:25,23.83,,
876,11/22/2022 20:25,23.76,,
877,11/22/2022 20:26,23.78,,
878,11/22/2022 20:26,23.78,,
879,11/22/2022 20:26,23.74,,
880,11/22/2022 20:26,23.8,,
881,11/22/2022 20:26,23.8,,
